Model,penalty,C,Accuracy,F1,Precision,Recall,AUC-ROC,AUC-PR
1. Lookback Lens (baseline),l2,0.001,0.5666666666666667,0.3157894736842105,0.22727272727272727,0.5172413793103449,0.604160729552579,0.29303032846736465
2. Scalar features only,l2,1e-05,0.6,0.34782608695652173,0.25396825396825395,0.5517241379310345,0.615844970076945,0.2956737742027228
3. Hidden states only,l2,0.0001,0.7666666666666667,0.36363636363636365,0.38461538461538464,0.3448275862068966,0.7030493017953833,0.31871947258967764
4. Lookback + Scalar,l2,0.001,0.5666666666666667,0.3434343434343434,0.24285714285714285,0.5862068965517241,0.6044457110287831,0.3177814597648483
5. Lookback + Hidden,l2,0.0001,0.6466666666666666,0.4175824175824176,0.3064516129032258,0.6551724137931034,0.6828156169848959,0.3071634454959479
6. Full system (ours),l2,0.0001,0.6133333333333333,0.3695652173913043,0.2698412698412698,0.5862068965517241,0.6736962097463663,0.3052257397898518
