Model,C,Accuracy,F1,Precision,Recall,AUC-ROC,AUC-PR
1. Lookback Lens (baseline),0.001,0.5666666666666667,0.3434343434343434,0.24285714285714285,0.5862068965517241,0.6047306925049871,0.2932943385052439
2. Scalar features only,0.001,0.6066666666666667,0.2716049382716049,0.21153846153846154,0.3793103448275862,0.616129951553149,0.2865327707551569
3. Hidden states only,0.001,0.48,0.390625,0.25252525252525254,0.8620689655172413,0.6993445426047307,0.32371412038580644
4. Lookback + Scalar,0.001,0.6866666666666666,0.27692307692307694,0.25,0.3103448275862069,0.6041607295525792,0.317668070513528
5. Lookback + Hidden,0.001,0.38666666666666666,0.352112676056338,0.22123893805309736,0.8620689655172413,0.6748361356511827,0.2872744515310367
6. Full system (ours),0.001,0.36666666666666664,0.3448275862068966,0.21551724137931033,0.8620689655172413,0.67113137646053,0.2883287888738366
