Model,dim,penalty,C,Accuracy,F1,Precision,Recall,AUC-ROC,AUC-PR
HS raw (2048-dim),2048,l2,0.0001,0.7666666666666667,0.36363636363636365,0.38461538461538464,0.3448275862068966,0.7030493017953833,0.31871947258967764
HS-PCA-32,32,l2,0.001,0.54,0.3893805309734513,0.2619047619047619,0.7586206896551724,0.7170133941293816,0.37357593759618746
HS-PCA-64,64,l2,1e-05,0.6333333333333333,0.38202247191011235,0.2833333333333333,0.5862068965517241,0.6896551724137931,0.33862466711895806
HS-PCA-128,128,l2,0.001,0.5466666666666666,0.37037037037037035,0.25316455696202533,0.6896551724137931,0.6608720433171843,0.29734783851373947
HS-PCA-256,256,l1,10.0,0.6666666666666666,0.358974358974359,0.2857142857142857,0.4827586206896552,0.6105728127671702,0.25865587025653125
HS-PCA-512,512,l2,0.01,0.4866666666666667,0.3418803418803419,0.22727272727272727,0.6896551724137931,0.6189797663151895,0.27426374556743705
